Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Link),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
The Price Field in product filter is accepting alphabetic character,RET-54,10053,Bug,To Do,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,,,,Saurabh Kumar,620b359eeb297800689101e7,Saurabh Kumar,620b359eeb297800689101e7,18/Feb/22 10:14 AM,18/Feb/22 3:44 PM,18/Feb/22 3:44 PM,,,0,"The Price Field in product filter is accepting alphabetic character

Steps To Reproduce
1.Navigate to retail website
2.Select catalog and then product
3.Enter alphabet in Price filed of filter product

Expected Result
On clicking filter it should show validation method

Actual Result
On clicking filter it is accepting the value

ScreenShot

 !image-2022-02-18-10-14-09-785.png|thumbnail! ",,Saurabh Kumar,620b359eeb297800689101e7,,,,,,,,,,,,RET-33,,,,,,,,,,,,,,,,,,,18/Feb/22 10:14 AM;ug:19c48005-6629-4aeb-b0c5-338f4bfb958b;image-2022-02-18-10-14-09-785.png;https://ibmhaldia47.atlassian.net/secure/attachment/10007/image-2022-02-18-10-14-09-785.png,,,,,,,{},,,,0|i00003:f,,RET Sprint 1,,,,,,,,To Do
The Quantity Field in product filter is accepting alphabetic character,RET-53,10052,Bug,To Do,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,,,,Saurabh Kumar,620b359eeb297800689101e7,Saurabh Kumar,620b359eeb297800689101e7,18/Feb/22 10:00 AM,18/Feb/22 3:45 PM,18/Feb/22 3:45 PM,,,0,"The Quantity Field in product filter is accepting alphabetic character

Steps To Reproduce
 1.Navigate to retail website
 2.Select catalog and then product
 3.Enter alphabet in quantity filed of filter product

Expected Result
 On clicking filter it should show validation method

Actual Result
  On clicking filter it is accepting the value

ScreenShot

   !image-2022-02-18-09-59-57-836.png|thumbnail! ",,Saurabh Kumar,620b359eeb297800689101e7,,,,,,,,,,,,RET-35,,,,,,,,,,,,,,,,,,,18/Feb/22 9:59 AM;ug:19c48005-6629-4aeb-b0c5-338f4bfb958b;image-2022-02-18-09-59-57-836.png;https://ibmhaldia47.atlassian.net/secure/attachment/10006/image-2022-02-18-09-59-57-836.png,,,,,,,{},,,,0|i00006:,,RET Sprint 1,,,,,,,,To Do
The search feature in add image module is not workiing,RET-52,10051,Bug,To Do,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,,,,Saurabh Kumar,620b359eeb297800689101e7,Saurabh Kumar,620b359eeb297800689101e7,17/Feb/22 12:27 PM,18/Feb/22 3:45 PM,18/Feb/22 3:45 PM,,,0,"The search feature while trying to upload an image is not working

Steps To Reproduce
 1. Navigate to Retail Website
 2. Select Catalog and then product
 3. Then navigate to add products and search for an image to use

Expexted Result
 If the image exists then it should show the image

Actual Result 

 Although the image exists the file is not being shown

ScreenShot
 !image-2022-02-17-12-26-15-130.png|thumbnail! 

 !image-2022-02-17-12-27-00-987.png|thumbnail! ",,Saurabh Kumar,620b359eeb297800689101e7,,,,,,,,,,,,RET-51,,,,,,,,,,,,,,,,,,,17/Feb/22 12:26 PM;ug:19c48005-6629-4aeb-b0c5-338f4bfb958b;image-2022-02-17-12-26-15-130.png;https://ibmhaldia47.atlassian.net/secure/attachment/10005/image-2022-02-17-12-26-15-130.png,17/Feb/22 12:27 PM;ug:19c48005-6629-4aeb-b0c5-338f4bfb958b;image-2022-02-17-12-27-00-987.png;https://ibmhaldia47.atlassian.net/secure/attachment/10004/image-2022-02-17-12-27-00-987.png,,,,,,{},,,,0|i00008:,,RET Sprint 1,,,,,,,,To Do
Verify the Search feature in upload image works for products module,RET-51,10050,Test,In Progress,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,,,,Saurabh Kumar,620b359eeb297800689101e7,Saurabh Kumar,620b359eeb297800689101e7,17/Feb/22 11:58 AM,17/Feb/22 12:27 PM,18/Feb/22 11:04 AM,,,0,,,Saurabh Kumar,620b359eeb297800689101e7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00009:,,RET Sprint 1,,,,,,,,In Progress
The Add product features is allowing to upload png image,RET-50,10049,Bug,To Do,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,,,,Saurabh Kumar,620b359eeb297800689101e7,Saurabh Kumar,620b359eeb297800689101e7,17/Feb/22 11:57 AM,18/Feb/22 3:43 PM,18/Feb/22 4:28 PM,,,0,"The add product feature is allowing to upload png image but it should only allow us to upload jpg image file type

Steps To Reproduce
 1.Navigate to retail website
 2. Select catalog and then select product and go to add products option
 3. upload an image other than jpg

Expected Result
 It should show an error message 

Actual Result 
 The file is being uploaded

Screenshot
   !image-2022-02-17-11-57-36-555.png|thumbnail! ",,Saurabh Kumar,620b359eeb297800689101e7,,,,,,,,,,,,RET-43,,,,,,,,,,,,,,,,,,,17/Feb/22 11:57 AM;ug:19c48005-6629-4aeb-b0c5-338f4bfb958b;image-2022-02-17-11-57-36-555.png;https://ibmhaldia47.atlassian.net/secure/attachment/10003/image-2022-02-17-11-57-36-555.png,,,,,,,{},,,,0|i00002:v,,RET Sprint 1,,,,,,,,To Do
The mail is being sent with blank input in message field,RET-49,10048,Bug,To Do,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,,,,Saurabh Kumar,620b359eeb297800689101e7,Saurabh Kumar,620b359eeb297800689101e7,16/Feb/22 3:37 PM,18/Feb/22 3:45 PM,18/Feb/22 3:44 PM,,,0,"The mail is being sent with blank input in message field 

Steps To Reproduce 
 1. Navigate to Retail Website 
 2. Select Marketing and then Select Mail Option
 3. send a mail without writing anything in the message field 

Expected Result
  On clicking send button it should should show a validation message

Actual Result
  On clicking send button the mail is being sent

ScreenShot

 !image-2022-02-16-15-37-27-950.png|thumbnail!  ",,Saurabh Kumar,620b359eeb297800689101e7,,,,,,,,,,,,RET-48,,,,,,,,,,,,,,,,,,,16/Feb/22 3:37 PM;ug:19c48005-6629-4aeb-b0c5-338f4bfb958b;image-2022-02-16-15-37-27-950.png;https://ibmhaldia47.atlassian.net/secure/attachment/10002/image-2022-02-16-15-37-27-950.png,,,,,,,{},,,,0|i00004:i,,RET Sprint 1,,,,,,,,To Do
Verify that the mail with blank input in message field ,RET-48,10047,Test,In Progress,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,,,,Saurabh Kumar,620b359eeb297800689101e7,Saurabh Kumar,620b359eeb297800689101e7,16/Feb/22 2:59 PM,17/Feb/22 10:58 AM,16/Feb/22 3:37 PM,,,0,,,Saurabh Kumar,620b359eeb297800689101e7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00003:b,,RET Sprint 1,,,,,,,,In Progress
Even if the subject field is balnk the mail is being sent,RET-47,10046,Bug,To Do,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,,,,Saurabh Kumar,620b359eeb297800689101e7,Saurabh Kumar,620b359eeb297800689101e7,16/Feb/22 2:46 PM,18/Feb/22 3:44 PM,18/Feb/22 3:44 PM,,,0,"Empty mail subject messages are being sent

Steps to reproduce 
 1. Navigate to Retail website
 2. Select marketing and move to mail
 3. send mail without any subject

Expected Result
  There should appear a validation message saying that subject field is empty

Actual Result
   The mail with blank subject value is being sent 

ScreenShot
 !image-2022-02-16-14-46-42-249.png|thumbnail! ",,Saurabh Kumar,620b359eeb297800689101e7,,,,,,,,,,,,RET-17,,,,,,,,,,,,,,,,,,,16/Feb/22 2:46 PM;ug:19c48005-6629-4aeb-b0c5-338f4bfb958b;image-2022-02-16-14-46-42-249.png;https://ibmhaldia47.atlassian.net/secure/attachment/10001/image-2022-02-16-14-46-42-249.png,,,,,,,{},,,,0|i00003:d,,RET Sprint 1,,,,,,,,To Do
The Subject field is accepting more than 1000 characters,RET-46,10045,Bug,To Do,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,,,,Saurabh Kumar,620b359eeb297800689101e7,Saurabh Kumar,620b359eeb297800689101e7,16/Feb/22 12:35 PM,18/Feb/22 3:43 PM,18/Feb/22 3:43 PM,,,0,"The subject field in Mail module should not allow more than 1000 characters in Text box.

Steps To Reproduce 
  1. Navigate to the retail website
  2. GO to marketing and then to Mail
  3. Enter more than 1000 characters in Subject field 

Expected Result
   On clicking send , it should show a validation message 

Actual  Result
    The mail is being sent



",,Saurabh Kumar,620b359eeb297800689101e7,,,,,,,,,,,,RET-14,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00003:9,,RET Sprint 1,,,,,,,,To Do
Verify delete button in product module,RET-45,10044,Test,Done,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,Done,,,Saurabh Kumar,620b359eeb297800689101e7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:16 PM,18/Feb/22 10:07 AM,18/Feb/22 10:07 AM,18/Feb/22 10:07 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00001:f,,RET Sprint 1,,,,,,,,Done
Verify copy button in product module,RET-44,10043,Test,Done,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,Done,,,Saurabh Kumar,620b359eeb297800689101e7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:16 PM,17/Feb/22 12:36 PM,17/Feb/22 12:36 PM,17/Feb/22 12:36 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00002:d,,RET Sprint 1,,,,,,,,Done
Verify by uploading other image type than jpg in add product module,RET-43,10042,Test,In Progress,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,,,,Saurabh Kumar,620b359eeb297800689101e7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:16 PM,17/Feb/22 11:57 AM,17/Feb/22 11:47 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00002:n,,RET Sprint 1,,,,,,,,In Progress
Verify by uploading jpg file in image in add products page in product module,RET-42,10041,Test,Done,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,Done,,,Saurabh Kumar,620b359eeb297800689101e7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:16 PM,17/Feb/22 12:37 PM,17/Feb/22 12:37 PM,17/Feb/22 12:37 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00002:ki,,RET Sprint 1,,,,,,,,Done
Verify that product name and meta tag title label has astrik sign in add new products page in product module,RET-41,10040,Test,Done,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,Done,,,Saurabh Kumar,620b359eeb297800689101e7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:16 PM,18/Feb/22 10:19 AM,18/Feb/22 10:19 AM,18/Feb/22 10:19 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00002:ii,,RET Sprint 1,,,,,,,,Done
Verify the action button in product module,RET-40,10039,Test,Done,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,Done,,,Saurabh Kumar,620b359eeb297800689101e7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:16 PM,17/Feb/22 12:30 PM,17/Feb/22 12:30 PM,17/Feb/22 12:30 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00002:ji,,RET Sprint 1,,,,,,,,Done
Verify the fields in product page in product Module,RET-39,10038,Test,Done,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,Done,,,Saurabh Kumar,620b359eeb297800689101e7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:16 PM,18/Feb/22 10:09 AM,18/Feb/22 10:09 AM,18/Feb/22 10:09 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00002:l,,RET Sprint 1,,,,,,,,Done
Verify the filter button in product module,RET-38,10037,Test,Done,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,Done,,,Saurabh Kumar,620b359eeb297800689101e7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:16 PM,18/Feb/22 3:47 PM,18/Feb/22 3:48 PM,18/Feb/22 3:47 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00002:4,,RET Sprint 1,,,,,,,,Done
Verify the contents of status and image field in product module,RET-37,10036,Test,Done,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,Done,,,Saurabh Kumar,620b359eeb297800689101e7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:16 PM,17/Feb/22 11:12 AM,17/Feb/22 11:12 AM,17/Feb/22 11:12 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00002:o,,RET Sprint 1,,,,,,,,Done
Verify the type of status and image field in product module,RET-36,10035,Test,Done,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,Done,,,Saurabh Kumar,620b359eeb297800689101e7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:16 PM,17/Feb/22 11:45 AM,17/Feb/22 11:45 AM,17/Feb/22 11:45 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00001:7,,RET Sprint 1,,,,,,,,Done
Verify the quantity field with alphabets in product module,RET-35,10034,Test,In Progress,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,,,,Saurabh Kumar,620b359eeb297800689101e7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:16 PM,18/Feb/22 10:01 AM,18/Feb/22 10:00 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00003:i,,RET Sprint 1,,,,,,,,In Progress
